index,risky,grade_A,grade_B,grade_C,grade_D,grade_E,grade_F,grade_G,term_ 36 months,term_ 60 months,home_ownership_ANY,home_ownership_MORTGAGE,home_ownership_OWN,home_ownership_RENT,prediction
107209,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
95521,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
46589,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
78722,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1
104038,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
3849,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
84613,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1
46174,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
39585,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
75269,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1
94961,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
90088,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
68943,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
83789,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1
95227,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1
11829,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
45189,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
95281,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
21250,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1
80444,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
100479,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
24781,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1
65350,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
29115,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
107088,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
66598,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
82516,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
72143,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1
94077,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
85626,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
90001,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
91486,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
101580,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
99498,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1
49215,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
89313,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
79425,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
68413,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
73420,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
